id,address,data,item_data,item_lookup,check_type,og_name,area,location,type,valid,reqs
172,C87522,47c90b0472ab01,0472,072,pickup,Pachisi Ticket,Isis Castle,Floor 1F Room Left Drawer,search,valid,
173,C87529,4a8a100470ac01,0470,070,pickup,Defy Book,Isis Castle,Floor 1F Room Right Drawer,search,valid,
174,C87530,c1c90f0008ad01,0008,008,pickup,Demon Axe,Baramos Castle,Chest Area Top,chest,valid,
175,C87537,c149108042ae01,8042,842,pickup,Wizard Ring,Baramos Castle,Chest Area Middle,chest,valid,
176,C8753E,c1c910803aaf01,803a,83a,pickup,Misery Helmet,Baramos Castle,Chest Area Bottom,chest,valid,
177,C87545,e043070068b001,0068,068,pickup,Small Medal,Baramos Castle,Throne Room,search,valid,
178,C8754C,004a070068b101,0068,068,pickup,Small Medal,Baramos Castle,B1 Cell,search,valid,
179,C87553,40c8070068b201,0068,068,pickup,Small Medal,Dragon Queen Castle,North Light,search,valid,final_key
180,C8755A,e0c8130068b301,0068,068,pickup,Small Medal,Dharma,Statue,search,valid,
181,C87561,01c30a80534500,8053,853,pickup,Change Staff,Samanosa,King Room,chest,valid,"magic_key, final_key, ra_mirror"
182,C87568,05c30e0072b401,0072,072,pickup,Pachisi Ticket,Samanosa,Outside Inn Barrel,search,valid,
183,C8756F,80480b0068b501,0068,068,pickup,Small Medal,Samanosa,Graveyard Top Row,search,valid,
184,C87576,c0470c8059b601,8059,859,pickup,Agility Seed,Samanosa,Graveyard Middle Row,search,valid,
185,C8757D,00480d0072b701,0072,072,pickup,Pachisi Ticket,Samanosa,Graveyard Bottom Row,search,valid,
186,C87584,4442050059b801,0059,059,pickup,Strength Seed,Samanosa,House Left Pot,search,valid,
187,C8758B,00040a0068b901,0068,068,pickup,Small Medal,Samanosa,Castle Exterior Leftside,search,valid,
188,C87592,8546110068ba01,0068,068,pickup,Small Medal,Samanosa,Castle Kitchen Pot,search,valid,magic_key
189,C87599,c0c50b805bbb01,805b,85b,pickup,Life Nut,Samanosa,Castle Garden,search,valid,"magic_key, final_key"
190,C875A0,ca82078071bd01,8071,871,pickup,Cheater Guide,Samanosa,King Room Bookshelf,search,valid,
191,C875A7,47c3070001be01,0001,001,pickup,Club,Samanosa,King Room Right Drawer,search,valid,
192,C875AE,8443060068bc01,0068,068,pickup,Small Medal,Samanosa,Underground Prison Pot,search,valid,"magic_key, final_key"
193,C875B5,8046140054bf01,0054,054,pickup,Life Stone,Samanosa,Underground Prison Near Bed,search,valid,"magic_key, final_key"
194,C875BC,c0c408806ac301,806a,86a,pickup,Mystic Nut,Ludatorm,Town Flowerbed,search,valid,
195,C875C3,40ca050068c401,0068,068,pickup,Small Medal,Ludatorm,Town Northeast Trees,search,valid,
196,C875CA,4442060072c501,0072,072,pickup,Pachisi Ticket,Ludatorm,House Pot,search,valid,thief_key
197,C875D1,0a0405006ec601,006e,06e,pickup,Lucky Book,Ludatorm,Upstairs House N Left Bookshelf,search,valid,
198,C875D8,4a0405806bc701,806b,86b,pickup,Wimpy Book,Ludatorm,Upstairs House N Right Bookshelf,search,valid,
199,C875DF,474305805bc801,805b,85b,pickup,Life Nut,Ludatorm,Upstairs House SW Right Drawer,search,valid,
200,C875E6,41420600645500,0064,064,pickup,Sun Stone,Ludatorm,Castle Vault Left ,chest,valid,thief_key
201,C875ED,c0ca860072c901,0072,072,pickup,Pachisi Ticket,Ludatorm,Castle Exterior Northeast,search,valid,
202,C875F4,a047130072ca01,0072,072,pickup,Pachisi Ticket,Ludatorm,Castle Exterior Rightside,search,valid,
203,C875FB,85470e0068cb01,0068,068,pickup,Small Medal,Ludatorm,Castle Kitchen Pot,search,valid,
204,C87602,07c3050072cc01,0072,072,pickup,Pachisi Ticket,Ludatorm,Castle 2F Left Drawer,search,valid,thief_key
205,C87609,47c305002ccd01,002c,02c,pickup,Boxer Shorts,Ludatorm,Castle 2F Right Drawer,search,valid,thief_key
206,C87610,85c3058059ce01,8059,859,pickup,Agility Seed,Ludatorm,Castle Vault Barrel,search,valid,thief_key
207,C87617,a00b190068d701,0068,068,pickup,Small Medal,Zoma Castle,Floor 1F SW Barrier,search,valid,
208,C8761E,a0c70b0068d801,0068,068,pickup,Small Medal,Zoma Castle,Floor 1F Throne,search,valid,
209,C87625,01431f800ad001,800a,80a,pickup,Double-Edged Sword,Zoma Castle,Floor B1 ,chest,valid,
210,C8762C,8147130068d101,0068,068,pickup,Small Medal,Zoma Castle,Floor B2 Left Left ,chest,valid,
211,C87633,c147130054d301,0054,054,pickup,Life Stone,Zoma Castle,Floor B2 Left Right ,chest,valid,
212,C8763A,01c813005ed401,005e,05e,pickup,Yggdrasil Leaf,Zoma Castle,Floor B2 Middle Left ,chest,valid,
213,C87641,41c8138051d501,8051,851,pickup,Sage's Stone,Zoma Castle,Floor B2 Middle Right ,chest,valid,
214,C87648,8148138042d601,8042,842,pickup,Wizard Ring,Zoma Castle,Floor B2 Right Left ,chest,valid,
215,C8764F,c1c915005cd901,005c,05c,pickup,Medical Herb,Promontory Cave,Underground B1 NE ,chest,valid,
216,C87656,014b0d8026da01,8026,826,pickup,Traveler Clothes,Promontory Cave,Underground B1 SW ,chest,valid,
217,C8765D,c14b06001fe701,001f,01f,pickup,Training Suit,Bahn Tunnel Ashalam Side,Floor 1F Left ,chest,valid,
218,C87664,014c060001e801,0001,001,pickup,Club,Bahn Tunnel Ashalam Side,Floor 1F Right ,chest,valid,
219,C8766B,c0c40f805be901,805b,85b,pickup,Life Nut,Bahn Tunnel Ashalam Side,Well Wall,search,valid,
220,C87672,c1ca13000eeb01,000e,00e,pickup,Thunder Sword,Necrogond Cave,Floor B1 E ,chest,valid,
221,C87679,41c4168029ec01,8029,829,pickup,Blade Armor,Necrogond Cave,Floor B1 SE ,chest,valid,
222,C87680,014306805cdc01,805c,85c,pickup,Antidote Herb,Cave of Temptation Romaly Side,Floor B1 1,chest,valid,
223,C87687,81c2240002dd01,0002,002,pickup,Sacred Knife,Cave of Temptation Romaly Side,Floor B1 2,chest,valid,
224,C8768E,81c70d005dde01,005d,05d,pickup,Holy Water,Underworld Lake,Floor 1F ,chest,valid,
225,C87695,41c2088002e001,8002,802,pickup,Iron Spear,Underworld Lake,Floor B1 ,chest,valid,
226,C8769C,0148050059e101,0059,059,pickup,Strength Seed,Underworld Lake,Floor B2 1,chest,valid,
227,C876A3,81450e802be201,802b,82b,pickup,Leather Dress,Underworld Lake,Floor B2 2,chest,valid,
228,C876AA,8145110072e401,0072,072,pickup,Pachisi Ticket,Underworld Lake,Floor B2 3,chest,valid,
229,C876B1,814b11804ae501,804a,84a,pickup,Silver Rosary,Underworld Lake,Floor B2 4,chest,valid,
230,C876B8,01c3060068e601,0068,068,pickup,Small Medal,Underworld Lake,Floor B3 ,chest,valid,
231,C876BF,c1c40a0068ea01,0068,068,pickup,Small Medal,Necrogond Cave,Floor B1 ,chest,valid,
232,C876C6,c0c50a0068ed01,0068,068,pickup,Small Medal,Necrogond Cave,Floor B3,search,valid,
233,C876CD,c14426005aee01,005a,05a,pickup,Stamina Seed,Kandar Cave,Floor 1F 1,chest,valid,
234,C876D4,01c9060068f001,0068,068,pickup,Small Medal,Kandar Cave,Floor 1F 2,chest,valid,
235,C876DB,0143060059f401,0059,059,pickup,Strength Seed,Kandar Cave,B1 Area Top Left,chest,valid,magic_key
236,C876E2,414306805bf501,805b,85b,pickup,Life Nut,Kandar Cave,B1 Area Top Right,chest,valid,magic_key
237,C876E9,01c306005bf601,005b,05b,pickup,Wisdom Seed,Kandar Cave,B1 Area Bottom Left,chest,valid,magic_key
238,C876F0,41c3068059f701,8059,859,pickup,Agility Seed,Kandar Cave,B1 Area Bottom Right,chest,valid,magic_key
239,C876F7,00c419805af801,805a,85a,pickup,Luck Seed,Kandar Cave,B1 Cells Left Mat,search,valid,magic_key
240,C876FE,40c719806af901,806a,86a,pickup,Mystic Nut,Kandar Cave,B1 Cells Right Mat,search,valid,magic_key
241,C87705,9bc4140072fa01,0072,072,pickup,Pachisi Ticket,Kandar Cave,B1 Room Left,search,valid,magic_key
242,C8770C,01cd18003cfb01,003c,03c,pickup,All-Knowing Mask,Zipangu Cave,Floor 1F ,chest,valid,
243,C87713,c14926015bff01,015b,05b,pickup,Wisdom Seed,Gaia Navel,Floor 1F SE ,chest,valid,
244,C8771A,c1c91f0168fd01,0168,068,pickup,Small Medal,Gaia Navel,Floor 1F NE ,chest,valid,
245,C87721,c1460e80280002,8028,828,pickup,Terra Armor,Gaia Navel,Floor B1 ,chest,valid,
246,C87728,01ca0c00680102,0068,068,pickup,Small Medal,Gaia Navel,Floor B2 Left ,chest,valid,
247,C8772F,41ca0c00674a00,0067,067,pickup,Blue Orb,Gaia Navel,Floor B2 Right ,chest,valid,
248,C87736,41c70400681002,0068,068,pickup,Small Medal,Ra Mirror Cave,Floor B1 1,chest,valid,
249,C8773D,414d0e00680702,0068,068,pickup,Small Medal,Ra Mirror Cave,Floor B1 2,chest,valid,
250,C87744,01c504805b1102,805b,85b,pickup,Life Nut,Ra Mirror Cave,Floor B1 3,chest,valid,
251,C8774B,c1450b00721202,0072,072,pickup,Pachisi Ticket,Ra Mirror Cave,Floor B1 4,chest,valid,
